Book Name,Book Price,Book Link
A Light in the ...,A Light in the ...,A Light in the ...
Tipping the Velvet,Tipping the Velvet,Tipping the Velvet
Soumission,Soumission,Soumission
Sharp Objects,Sharp Objects,Sharp Objects
Sapiens: A Brief History ...,Sapiens: A Brief History ...,Sapiens: A Brief History ...
The Requiem Red,The Requiem Red,The Requiem Red
The Dirty Little Secrets ...,The Dirty Little Secrets ...,The Dirty Little Secrets ...
The Coming Woman: A ...,The Coming Woman: A ...,The Coming Woman: A ...
The Boys in the ...,The Boys in the ...,The Boys in the ...
The Black Maria,The Black Maria,The Black Maria
Starving Hearts (Triangular Trade ...,Starving Hearts (Triangular Trade ...,Starving Hearts (Triangular Trade ...
Shakespeare's Sonnets,Shakespeare's Sonnets,Shakespeare's Sonnets
Set Me Free,Set Me Free,Set Me Free
Scott Pilgrim's Precious Little ...,Scott Pilgrim's Precious Little ...,Scott Pilgrim's Precious Little ...
Rip it Up and ...,Rip it Up and ...,Rip it Up and ...
Our Band Could Be ...,Our Band Could Be ...,Our Band Could Be ...
Olio,Olio,Olio
Mesaerion: The Best Science ...,Mesaerion: The Best Science ...,Mesaerion: The Best Science ...
Libertarianism for Beginners,Libertarianism for Beginners,Libertarianism for Beginners
It's Only the Himalayas,It's Only the Himalayas,It's Only the Himalayas
Book Name,Book Price,Book Link
A Light in the Attic,A Light in the Attic,A Light in the Attic
Tipping the Velvet,Tipping the Velvet,Tipping the Velvet
Soumission,Soumission,Soumission
Sharp Objects,Sharp Objects,Sharp Objects
Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind,Sapiens: A Brief History of Humankind
The Requiem Red,The Requiem Red,The Requiem Red
The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job,The Dirty Little Secrets of Getting Your Dream Job
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull","The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
The Black Maria,The Black Maria,The Black Maria
"Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1)","Starving Hearts (Triangular Trade Trilogy, #1)"
Shakespeare's Sonnets,Shakespeare's Sonnets,Shakespeare's Sonnets
Set Me Free,Set Me Free,Set Me Free
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little Life (Scott Pilgrim #1)
Rip it Up and Start Again,Rip it Up and Start Again,Rip it Up and Start Again
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991","Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991"
Olio,Olio,Olio
Mesaerion: The Best Science Fiction Stories 1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849,Mesaerion: The Best Science Fiction Stories 1800-1849
Libertarianism for Beginners,Libertarianism for Beginners,Libertarianism for Beginners
It's Only the Himalayas,It's Only the Himalayas,It's Only the Himalayas
Book Name,Book Price,Book Link
A Light in the Attic,£51.77,catalogue/a-light-in-the-attic_1000/index.html
Tipping the Velvet,£53.74,catalogue/tipping-the-velvet_999/index.html
Soumission,£50.10,catalogue/soumission_998/index.html
Sharp Objects,£47.82,catalogue/sharp-objects_997/index.html
Sapiens: A Brief History of Humankind,£54.23,catalogue/sapiens-a-brief-history-of-humankind_996/index.html
The Requiem Red,£22.65,catalogue/the-requiem-red_995/index.html
The Dirty Little Secrets of Getting Your Dream Job,£33.34,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",£17.93,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,£22.60,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html
The Black Maria,£52.15,catalogue/the-black-maria_991/index.html
"Starving Hearts (Triangular Trade Trilogy, #1)",£13.99,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html
Shakespeare's Sonnets,£20.66,catalogue/shakespeares-sonnets_989/index.html
Set Me Free,£17.46,catalogue/set-me-free_988/index.html
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
Rip it Up and Start Again,£35.02,catalogue/rip-it-up-and-start-again_986/index.html
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",£57.25,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html
Olio,£23.88,catalogue/olio_984/index.html
Mesaerion: The Best Science Fiction Stories 1800-1849,£37.59,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
Libertarianism for Beginners,£51.33,catalogue/libertarianism-for-beginners_982/index.html
It's Only the Himalayas,£45.17,catalogue/its-only-the-himalayas_981/index.html
